,subnetwork,sample_run,TravelTime,TotalCost,TravelTimeDisc,TravelTimeDisc11,TotalCostDisc,TotalCostDisc11
0,1,62,100.23270634755721,2761.417994957861,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,63,103.37338186511943,2078.3103514693385,"103.10271546307031, 128.87839432883789",1.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,64,100.41368085750254,2592.3549769444353,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,65,99.8906800363618,2780.2532877549033,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,66,103.18652416202372,2357.97331596154,"103.10271546307031, 128.87839432883789",1.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,67,100.94023823901878,4282.0071212792855,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,68,103.60260263811564,2835.8037501587373,"103.10271546307031, 128.87839432883789",1.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,69,100.53572936591372,3788.2718458613112,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,70,100.28906421408392,4482.690847348579,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,71,99.78558155217112,3459.4442346127457,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,72,102.13675088503113,2880.985476229438,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,73,104.90878444575974,1893.3383591757733,"103.10271546307031, 128.87839432883789",1.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,74,100.1036909348019,3494.9451215106756,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,75,100.7807650336251,6509.205110881465,"77.32703659730274, 103.10271546307031",3.0,"5238.791702007985, 6985.055602677313",3.0
0,1,76,100.85325716630163,4115.159920200787,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,77,101.26487964942925,3909.0796326056598,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,78,102.17254135992141,2573.1627757489005,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,79,101.18388625893608,3703.4405582737995,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,80,103.22663339393726,1824.5144289873956,"103.10271546307031, 128.87839432883789",1.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,81,100.20371375607127,2351.4910857294713,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,82,103.363735955081,4033.3295181661897,"103.10271546307031, 128.87839432883789",1.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,83,104.94594483890158,2667.722487007311,"103.10271546307031, 128.87839432883789",1.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,84,100.37971872809594,2824.7712720667982,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,85,99.6123590870298,4623.579484449992,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,86,101.14809748120211,2447.5896453308237,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,87,100.58073949097039,4101.912369035701,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,88,100.1065916501737,2381.203042683804,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,89,100.11261971821409,1843.6310347279884,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,90,103.31808821328417,4213.047429079731,"103.10271546307031, 128.87839432883789",1.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,91,103.70428646129173,3163.5624288716926,"103.10271546307031, 128.87839432883789",1.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,92,100.59433529171082,3951.4972601172108,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,93,100.3881342332827,2666.534166628794,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,94,102.16811647101797,4161.020729846846,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,95,100.10288112963721,3786.010221260264,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,96,101.21694966414444,4551.743414649495,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,97,102.06163115226012,1873.542765705785,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,98,100.45966054388902,4131.4597287506085,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,99,102.52237367032933,1208.550047453266,"77.32703659730274, 103.10271546307031",3.0,"0.0, 1746.2639006693282",0.0
0,1,100,99.92818014411428,3910.93236463682,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
