,subnetwork,sample_run,TravelTime,TotalCost
0,4,0,290.55342102381485,4130.782652010224
0,4,1,296.65080874937837,4562.3744003838
0,4,2,285.6105242536203,3696.305888298016
0,4,3,285.98183418831024,4443.620281192571
0,4,4,291.1274514868054,7193.339026576104
0,4,5,294.97040539589244,7193.339026576104
0,4,6,287.75158132724204,4650.677632366389
0,4,7,285.8967531944385,4262.533887147415
0,4,8,298.5961868155788,5293.49215621735
0,4,9,297.2241654764329,3779.2852562310927
0,4,10,285.58562836694233,4650.677632366389
0,4,11,300.4839144876898,5859.112344517895
0,4,12,257.83840560443156,4396.490751452299
0,4,13,285.5935140289379,4116.93918061217
0,4,14,287.78569417502297,6483.470738578751
0,4,15,286.7125133109955,4262.533887147415
0,4,16,298.5961868155788,4922.308124089122
0,4,17,298.5140911684565,4126.17503660866
0,4,18,300.4839144876898,3061.774425660835
0,4,19,289.1659510889687,5859.112344517895
0,4,20,300.4839144876898,3775.3368356783435
0,4,21,300.4839144876898,4220.777160893975
0,4,22,294.96600083056273,4759.348816196898
0,4,23,287.78569417502297,5859.112344517895
0,4,24,298.980034394326,7522.400076521017
0,4,25,295.10355669673567,3769.7728881464086
0,4,26,300.4839144876898,4650.677632366389
0,4,27,287.6055099915367,4443.620281192571
0,4,28,289.27564592721023,3242.1506546725273
0,4,29,285.8967531944385,4650.677632366389
0,4,30,287.6095747950295,5851.072070657189
0,4,31,287.0595815078037,7398.646286964867
0,4,32,298.5086039159586,4694.353736311239
0,4,33,287.4561194576612,4805.437420533576
0,4,34,306.21772714119487,7581.1703560636315
0,4,35,287.538063612171,7193.339026576104
0,4,36,296.8441372482691,4432.058002152035
0,4,37,297.1976394648908,4130.782652010224
0,4,38,286.09947840572187,3570.8925313109585
0,4,39,287.7602125538224,5980.91575585058
0,4,40,294.8357573060387,7581.1703560636315
0,4,41,285.593104590597,3717.5933614297396
0,4,42,300.4839144876898,4209.565795079768
0,4,43,285.98544720415595,5235.225443966177
0,4,44,297.2091484966184,6661.174447309209
0,4,45,287.6095747950295,5851.072070657189
0,4,46,287.3988631650309,4420.6249691294
0,4,47,295.0975430424588,7581.1703560636315
0,4,48,300.4839144876898,4705.384220085993
0,4,49,287.4892230567084,6431.673375396717
0,4,50,297.16813575106426,4704.068192012316
0,4,51,294.98844394901795,4236.514186529488
0,4,52,294.84873215959146,4225.605019423011
0,4,53,285.9827689476961,3270.2781663948267
0,4,54,306.21772714119487,4443.620281192571
0,4,55,286.6802600936679,5992.789767022059
0,4,56,298.925133559006,7522.400076521017
0,4,57,289.1882164716779,3694.130915580706
0,4,58,296.65080874937837,7424.6386671350665
0,4,59,289.1744310149153,5827.128111906728
