,subnetwork,sample_run,TravelTime,TotalCost
0,1,0,101.91674086608106,2771.387822878259
0,1,1,101.62040845782889,2771.387822878259
0,1,2,101.7187715887969,2771.387822878259
0,1,3,100.10807750448262,4571.971951171661
0,1,4,100.4526951563189,3215.8941943010145
0,1,5,99.88999342535584,4687.029887488391
0,1,6,101.17136734377698,2771.038263687683
0,1,7,105.56859503861811,2739.9070999231903
0,1,8,100.49141493599699,1369.5714584130903
0,1,9,104.51232827254704,4703.341784103503
0,1,10,104.05940195618587,3016.2338011750485
0,1,11,0.06378190375045711,1803.661940865884
0,1,12,100.49329818898705,2219.270072666994
0,1,13,101.69056947473317,4037.1756886267117
0,1,14,103.44641574353068,2265.465594802097
0,1,15,100.06791988316165,3225.8164686854448
0,1,16,104.17611695129986,4039.322816780658
0,1,17,101.19668751884579,2096.815863997927
0,1,18,100.9941387358583,2219.270072666994
0,1,19,100.32805603426976,4444.053599787298
0,1,20,103.0331382648599,3097.178167891274
0,1,21,100.39911583072306,1369.5714584130903
0,1,22,102.62062903670186,2442.6440523176266
0,1,23,101.3327354394336,1551.9139826987682
0,1,24,101.20440042654346,3003.6620514320743
0,1,25,103.44641574353068,3206.5434272595076
0,1,26,100.08933604469206,3066.1927089594537
0,1,27,116.61486986426996,1606.8644779626586
0,1,28,101.66442552240694,5129.801602381306
0,1,29,101.28957524640553,3584.9533763467116
0,1,30,100.74320491063959,4628.113500907838
0,1,31,104.04351794566269,4169.687074430472
0,1,32,104.28461809509632,4090.2595909311535
0,1,33,102.0621035861897,2417.7515014529317
0,1,34,103.89478577484465,1369.5714584130903
0,1,35,104.1724576584242,2448.9195082221663
0,1,36,100.9941387358583,4661.461580896858
0,1,37,104.81859524484892,2268.028471441855
0,1,38,100.9941387358583,3168.9838768967747
0,1,39,100.39579505485216,4577.206350182856
0,1,40,100.33482985889925,1551.9139826987682
0,1,41,100.9941387358583,2693.1497074384056
0,1,42,105.6451985397374,3212.266033985715
0,1,43,103.43208949339375,4162.490685987174
0,1,44,99.88999342535584,5181.345800168569
0,1,45,104.14668894103885,3314.2268765972663
0,1,46,104.04351794566269,4206.082360050728
0,1,47,101.17984742059764,1811.698588903396
0,1,48,100.47372108049107,2731.411271495072
0,1,49,100.57605945266135,2417.97278630914
0,1,50,0.15344145737807358,3688.868396604451
0,1,51,103.87038569408426,3255.085168694092
0,1,52,104.18366049737506,4022.664160721037
0,1,53,101.45205326070726,2737.126679974295
0,1,54,105.63742262798617,4091.5088600402387
0,1,55,100.74320491063959,3174.642426785043
0,1,56,103.44641574353068,3244.011283487188
0,1,57,104.04351794566269,2219.270072666994
0,1,58,105.56697329622072,2459.2744837643936
0,1,59,104.18899376442788,472.3548820199136
0,2,0,410.7288053881707,7588.755531557155
0,2,1,410.5935402993689,6105.194030112995
0,2,2,410.03503684715275,4885.212809624709
0,2,3,408.4640750034187,7250.471341751356
0,2,4,414.09012652291113,7068.302808094811
0,2,5,411.4888746688237,4631.902353223987
0,2,6,410.5935402993689,7498.19049319713
0,2,7,412.2760532237611,6372.442166044867
0,2,8,408.99936066883,8511.102560484482
0,2,9,411.68563536650083,5729.394169121085
0,2,10,410.40630353658827,7863.638723562721
0,2,11,411.3208262530889,8301.930051131943
0,2,12,412.9913010530068,4628.319925434888
0,2,13,411.51581796126766,7593.460249897749
0,2,14,409.9527322594923,3730.3600472484186
0,2,15,409.1907620043725,4617.192679416253
0,2,16,411.7590544773546,5078.962859977077
0,2,17,411.3208262530889,5595.626149220813
0,2,18,411.1862075712537,7242.63076717568
0,2,19,411.00776202254457,7249.671433122289
0,2,20,411.602237004051,4671.231155813553
0,2,21,411.18985643312834,7222.297177286986
0,2,22,452.6703038361333,8301.930051131943
0,2,23,411.1469531048826,6982.325575998373
0,2,24,408.4640750034187,4643.649893865115
0,2,25,412.66128338263246,5929.185739517232
0,2,26,472.64073835985437,7225.372712100575
0,2,27,415.40720830143874,7010.690609678839
0,2,28,411.51581796126766,0.1858038028877046
0,2,29,411.0862463869656,8240.730501575294
0,2,30,408.0439760399391,5053.4332360949
0,2,31,411.0518284487191,7249.238532981924
0,2,32,411.0996065735246,7703.150617632969
0,2,33,413.0927633462956,7605.349565285358
0,2,34,415.47458789877226,6025.72353852142
0,2,35,430.7004611164256,7498.19049319713
0,2,36,411.2053713502616,5405.073856210788
0,2,37,411.49754311571644,9053.53921317972
0,2,38,410.80631896481964,0.7727315235463971
0,2,39,414.99858698057915,7403.800409927069
0,2,40,411.1796413919032,7498.19049319713
0,2,41,411.46322786762687,5067.565605247981
0,2,42,409.6943192063863,1055.870305167424
0,2,43,411.11637155871,6372.442166044867
0,2,44,407.6594385538797,6445.177417825186
0,2,45,408.07132265704826,6445.177417825186
0,2,46,411.51581796126766,5488.31425210048
0,2,47,408.91465210198425,4830.872418829144
0,2,48,426.3969625954688,5488.31425210048
0,2,49,445.9284945510661,4838.504215464455
0,2,50,412.14024006948415,7274.489281453923
0,2,51,409.9916515141716,8511.102560484482
0,2,52,410.7441134529356,7498.19049319713
0,2,53,409.7193893157782,7225.372712100575
0,2,54,408.9841500616721,5971.420248554148
0,2,55,412.1852623630675,3734.70607472009
0,2,56,409.71180497014973,3745.538774709314
0,2,57,411.21858489523066,5690.952083801347
0,2,58,448.09605689175106,6445.177417825186
0,2,59,411.1469531048826,5137.667694277231
