,DepenVar,DepenVarLvel,IndepenVar,IndepenVarLvel,IndepenVar1,IndepenVar1Lvel,IndepenVar2,IndepenVar2Lvel,IndepenVar3,IndepenVar3Lvel,CondProb
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,3,Road37Avail,0,Road49Avail,3,1.0
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,3,Road37Avail,1,Road49Avail,0,1.0
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,3,Road37Avail,1,Road49Avail,1,1.0
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,3,Road37Avail,1,Road49Avail,2,1.0
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,3,Road37Avail,1,Road49Avail,3,1.0
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,3,Road37Avail,2,Road49Avail,0,1.0
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,3,Road37Avail,2,Road49Avail,1,1.0
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,3,Road37Avail,2,Road49Avail,2,1.0
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,3,Road37Avail,2,Road49Avail,3,1.0
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,3,Road37Avail,3,Road49Avail,0,1.0
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,3,Road37Avail,3,Road49Avail,1,1.0
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,3,Road37Avail,3,Road49Avail,2,1.0
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,3,Road37Avail,3,Road49Avail,3,1.0
0,TravelTimeDisc11,0,Road22Avail,3,Road24Avail,0,Road37Avail,0,Road49Avail,0,0.9655172413793104
0,TravelTimeDisc11,0,Road22Avail,3,Road24Avail,0,Road37Avail,0,Road49Avail,1,0.9642857142857143
0,TravelTimeDisc11,0,Road22Avail,3,Road24Avail,0,Road37Avail,0,Road49Avail,2,1.0
0,TravelTimeDisc11,0,Road22Avail,3,Road24Avail,0,Road37Avail,0,Road49Avail,3,0.9655172413793104
0,TravelTimeDisc11,0,Road22Avail,3,Road24Avail,0,Road37Avail,1,Road49Avail,0,0.9642857142857143
0,TravelTimeDisc11,0,Road22Avail,3,Road24Avail,0,Road37Avail,1,Road49Avail,1,0.9642857142857143
0,TravelTimeDisc11,0,Road22Avail,3,Road24Avail,0,Road37Avail,1,Road49Avail,2,1.0
0,TravelTimeDisc11,0,Road22Avail,3,Road24Avail,0,Road37Avail,1,Road49Avail,3,0.9642857142857143
0,TravelTimeDisc11,0,Road22Avail,3,Road24Avail,0,Road37Avail,2,Road49Avail,0,1.0
0,TravelTimeDisc11,0,Road22Avail,3,Road24Avail,0,Road37Avail,2,Road49Avail,1,1.0
0,TravelTimeDisc11,0,Road22Avail,3,Road24Avail,0,Road37Avail,2,Road49Avail,2,1.0
0,TravelTimeDisc11,0,Road22Avail,3,Road24Avail,0,Road37Avail,2,Road49Avail,3,1.0
0,TravelTimeDisc11,0,Road22Avail,3,Road24Avail,0,Road37Avail,3,Road49Avail,0,0.9655172413793104
0,TravelTimeDisc11,0,Road22Avail,3,Road24Avail,0,Road37Avail,3,Road49Avail,1,0.9642857142857143
0,TravelTimeDisc11,0,Road22Avail,3,Road24Avail,0,Road37Avail,3,Road49Avail,2,1.0
0,TravelTimeDisc11,0,Road22Avail,3,Road24Avail,0,Road37Avail,3,Road49Avail,3,0.9655172413793104
0,TravelTimeDisc11,0,Road22Avail,3,Road24Avail,1,Road37Avail,0,Road49Avail,0,0.9642857142857143
