,subnetwork,sample_run,TravelTime,TotalCost,TravelTimeDisc,TravelTimeDisc11,TotalCostDisc,TotalCostDisc11
0,1,23,101.97855274380777,3248.8340745810747,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,24,100.46425508196752,3854.819237662664,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,25,102.76187259592673,4445.136452274668,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,26,101.69045944667108,2800.2071120657597,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,27,101.99810148707505,4116.690253588686,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,28,110.54842078158849,3225.691436027516,"108.4444462415369, 119.78368502674323",0.0,"2494.387816759093, 4988.775633518186",1.0
0,1,29,101.09242772333451,2376.52815898683,"97.10520745633058, 108.4444462415369",3.0,"0.0, 2494.387816759093",0.0
0,1,30,106.03242885101366,4025.567951581317,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,31,102.17921304982964,2624.496905075463,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,32,104.36363431322917,4231.696476855603,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,33,104.19842366421959,4015.5791603482253,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,34,101.16208644790814,2793.9318643107044,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,35,100.78455252848264,4205.528509321542,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,36,103.80114331143595,1493.6409635792293,"97.10520745633058, 108.4444462415369",3.0,"0.0, 2494.387816759093",0.0
0,1,37,101.49465461882887,3719.121739433566,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,38,100.22495022019551,4803.807650613876,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,39,100.36421313297122,3731.3304620657664,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,40,100.24375087687271,2992.279754950851,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,41,101.86815705481737,4773.225525400484,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,42,101.5974972779608,3479.8790010967305,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,43,100.12675958956937,5167.290605226793,"97.10520745633058, 108.4444462415369",3.0,"4988.775633518186, 7483.163450277279",2.0
0,1,44,130.80737197110616,4236.957220811899,"119.78368502674323, 131.12292381194953",1.0,"2494.387816759093, 4988.775633518186",1.0
0,1,45,100.12290787853205,3763.878906137797,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,46,102.67675019264836,2452.2524463166797,"97.10520745633058, 108.4444462415369",3.0,"0.0, 2494.387816759093",0.0
0,1,47,101.61913761017097,2472.3096311450036,"97.10520745633058, 108.4444462415369",3.0,"0.0, 2494.387816759093",0.0
0,1,48,102.35472353190636,4729.866306069317,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,49,105.18056797715228,815.8970193103305,"97.10520745633058, 108.4444462415369",3.0,"0.0, 2494.387816759093",0.0
0,1,50,101.53247872444533,3628.404507905575,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,51,104.20572773478082,4070.7577460600314,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,52,101.43228720873111,3772.5711519051724,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,53,101.51703541093748,3863.886274756751,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,54,101.14954520284415,4541.145562192967,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,55,102.16932071623388,3270.9504766546643,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,56,104.67595239328534,3733.453903139813,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,57,101.44285319407992,4304.966254619039,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,58,101.49839163217091,3375.342271471605,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,1,59,100.50960566813167,2925.0576385888603,"97.10520745633058, 108.4444462415369",3.0,"2494.387816759093, 4988.775633518186",1.0
0,2,0,408.6911729230739,9218.68317285882,"0.0, 410.75452069749997",0.0,"8032.990906584379, 12049.48635987657",2.0
0,2,1,408.2531145490589,8686.476306551373,"0.0, 410.75452069749997",0.0,"8032.990906584379, 12049.48635987657",2.0
0,2,2,411.98905547387847,6371.888744844479,"410.9247098306406, 470.04407171479124",2.0,"4016.4954532921897, 8032.990906584379",1.0
0,2,3,409.8719234091847,5207.4821414853695,"0.0, 410.75452069749997",0.0,"4016.4954532921897, 8032.990906584379",1.0
0,2,4,410.11548496443777,9011.68564770389,"0.0, 410.75452069749997",0.0,"8032.990906584379, 12049.48635987657",2.0
0,2,5,411.79563859895916,6889.743129553743,"410.9247098306406, 470.04407171479124",2.0,"4016.4954532921897, 8032.990906584379",1.0
0,2,6,411.9284286913604,6963.006466739146,"410.9247098306406, 470.04407171479124",2.0,"4016.4954532921897, 8032.990906584379",1.0
0,2,7,410.45100914997283,6284.6919067216795,"0.0, 410.75452069749997",0.0,"4016.4954532921897, 8032.990906584379",1.0
0,2,8,412.369921725069,5946.599097168947,"410.9247098306406, 470.04407171479124",2.0,"4016.4954532921897, 8032.990906584379",1.0
0,2,9,415.62718690790433,4045.6145558485023,"410.9247098306406, 470.04407171479124",2.0,"4016.4954532921897, 8032.990906584379",1.0
0,2,10,409.89601748201403,3979.610388335889,"0.0, 410.75452069749997",0.0,"0.0, 4016.4954532921897",0.0
0,2,11,411.9411996578568,5061.729308149009,"410.9247098306406, 470.04407171479124",2.0,"4016.4954532921897, 8032.990906584379",1.0
0,2,12,411.4412998417061,6310.243450158074,"410.9247098306406, 470.04407171479124",2.0,"4016.4954532921897, 8032.990906584379",1.0
0,2,13,411.52033632231405,4925.571938217415,"410.9247098306406, 470.04407171479124",2.0,"4016.4954532921897, 8032.990906584379",1.0
0,2,14,412.9981435226162,6674.8922014301825,"410.9247098306406, 470.04407171479124",2.0,"4016.4954532921897, 8032.990906584379",1.0
0,2,15,413.4763994625151,6800.52415895775,"410.9247098306406, 470.04407171479124",2.0,"4016.4954532921897, 8032.990906584379",1.0
0,2,16,408.4717169435083,5807.285620302141,"0.0, 410.75452069749997",0.0,"4016.4954532921897, 8032.990906584379",1.0
0,2,17,407.1935592202431,7761.652791639046,"0.0, 410.75452069749997",0.0,"4016.4954532921897, 8032.990906584379",1.0
0,2,18,407.5741466102857,5786.438650709926,"0.0, 410.75452069749997",0.0,"4016.4954532921897, 8032.990906584379",1.0
0,2,19,416.406374198931,8654.943149028466,"410.9247098306406, 470.04407171479124",2.0,"8032.990906584379, 12049.48635987657",2.0
0,2,20,412.88937815956774,4571.439233118436,"410.9247098306406, 470.04407171479124",2.0,"4016.4954532921897, 8032.990906584379",1.0
0,2,21,413.1556017018003,6768.583234785409,"410.9247098306406, 470.04407171479124",2.0,"4016.4954532921897, 8032.990906584379",1.0
0,2,22,413.6856014876045,8250.441307363286,"410.9247098306406, 470.04407171479124",2.0,"8032.990906584379, 12049.48635987657",2.0
0,2,23,408.45057010298257,4749.899366576366,"0.0, 410.75452069749997",0.0,"4016.4954532921897, 8032.990906584379",1.0
0,2,24,409.7326191239693,5391.664568879781,"0.0, 410.75452069749997",0.0,"4016.4954532921897, 8032.990906584379",1.0
