,sample_run,TravelTime,TotalCost,TravelTimeDisc,TravelTimeDisc11,TotalCostDisc,TotalCostDisc11
0,20,895.541546843126,19196.5579000881,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,21,895.1468239152209,20983.074391879498,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,22,891.2169258328315,21421.44467052229,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,23,906.6092072054182,19312.76475143259,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,24,906.8234745444156,20157.020772334283,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,25,893.3948352828108,16761.140017454523,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,26,893.691324424929,19820.871077557877,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,27,893.369377038659,18808.06094622792,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,28,897.2073036618286,17345.212963910137,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,29,905.5909171371065,18599.56048535211,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,30,894.6250400560702,18956.598198624426,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,31,901.8587461287866,18087.857509182835,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,32,901.6557770606944,16827.156639203597,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,33,909.1413781569136,19256.66518977256,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,34,897.4567894576236,17450.480173229,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,35,896.694139912362,14606.390533573776,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,36,892.536454953344,22560.11203802075,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,37,893.854279188491,15483.85103548271,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,38,884.0058828089228,17129.004441758203,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,39,900.4100337229315,20066.689670442815,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,40,898.8124416170732,19547.15833114971,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,41,904.3609467022429,22320.389030663242,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,42,907.1835846909105,18256.079946989816,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,43,898.4682472691983,20241.84163138537,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,44,906.5665323480141,20048.3605766748,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,45,892.8305399436204,19977.26932367216,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,46,915.9540733393505,19033.928945479827,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,47,909.234458654909,19153.699044118286,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,48,921.3152506384414,19961.914910083302,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,49,889.7478501496146,15642.035000696978,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,50,905.7471854987725,17372.13059868148,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,51,890.9397033396506,16864.75245050612,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,52,906.9111350786734,18649.48938684827,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,53,905.6336915106608,18401.054013737612,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,54,892.660165250408,21958.372096847073,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,55,902.7555256582588,18553.5384489786,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,56,894.8746320230964,15592.029920070925,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,57,901.7142162962475,18557.91683177894,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,58,901.5707295389211,16804.446294998386,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,59,905.768938722756,19855.678136897528,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,60,896.9435564825723,17935.278806694416,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,61,911.5943178507912,17856.527273623044,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,62,899.3443206689856,19326.36335438696,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,63,896.2981692239607,18718.056177546656,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,64,887.9484281168786,21151.648260593774,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,65,902.0466605939538,16811.490970920102,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,66,896.2160481659023,17989.136700978008,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,67,901.2528978598659,21647.811054373313,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,68,1001.2991920396958,18695.791744656894,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,69,891.3836939639339,18399.093037972223,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,70,904.4392906377,17000.725812679593,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,71,894.9189470230474,20052.22642967938,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,72,908.6487809726443,17463.227506279767,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,73,902.4063901262568,17705.563327308064,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,74,899.8194742093218,17649.746772799197,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,75,891.6865939415031,22680.63486025795,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,76,897.6840530031025,17618.881512392683,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,77,889.3960677140175,20319.11428664997,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,78,901.2846542367906,17221.190630972207,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,79,904.0842935328196,18214.36633970789,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,80,886.1196424689576,22018.264366225034,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,81,899.4747742366293,15253.678327589938,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,82,891.4535649956126,20580.036834047394,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,83,898.0821352204068,14414.61196528389,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,84,904.0606351691267,15676.067518305454,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,85,901.0260959626378,22246.936597370477,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,86,902.2914128858233,18558.40158137815,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,87,894.0656036481619,16905.358435049948,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,88,890.5943958148123,17347.848058903157,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,89,888.8903854147829,16313.648206503105,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,90,895.8894472590465,19205.462874663193,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,91,898.5058434495121,18045.85442239031,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,92,895.45756224875,24490.14962139059,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,93,909.0799538311575,21306.145352897514,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,94,898.2005172384834,18946.226189154007,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,95,909.285406550461,17223.36417446685,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,96,901.6864820260589,20212.33913332387,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,97,900.8273273446307,20541.536385751246,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,98,896.7065297715178,20857.434580450237,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,99,885.3064515102242,17231.981750729046,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,100,886.3075494484741,19728.908651376805,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,101,893.2938745425928,18940.952949228773,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,102,900.917394597896,21821.922920285564,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,103,892.8644070573,21584.09092051778,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,104,909.6208864172589,19825.32804212871,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,105,905.8966884600491,16328.65956261278,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,106,894.3504564047107,17508.937491431425,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,107,909.200638058888,16142.157746313113,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,108,904.9160115376258,13370.267133849748,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,109,900.2092375452204,19012.76749222961,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,110,906.3738231568398,18177.616502896024,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,111,885.5224176519187,20761.64311406995,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,112,902.4334319496988,16635.330888941855,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,113,907.1504230951895,17895.486265664054,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,114,892.793871735247,18551.846788102695,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,115,906.7602770883157,19901.299970516073,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,116,897.3702730806845,19204.709734212505,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,117,897.3475149808216,17439.951232869036,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,118,904.8991899903508,16594.996760639977,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,119,890.0584095296905,17529.48122674099,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,120,895.2003807044537,23307.3589961231,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,121,916.1664861497411,19253.569059425357,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,122,891.5427295711518,17528.829179319993,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,123,903.4586919918033,18092.483904423556,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,124,911.9125935647239,19623.520388500823,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,125,894.1376550587546,19033.844854758427,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,126,907.8675401626963,18712.072844222574,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,127,897.4828546073023,16307.834397346085,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,128,895.0529562505998,15760.017619823693,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,129,893.2905535755716,21912.344413799754,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,130,912.3932137052891,18341.83530963474,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,131,911.5240039137855,20313.40328524147,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,132,548.6384731381106,19535.456687531703,"507.03278108247844, 676.0437081099712",0,"18966.317297552, 25288.423063402664",1
