,subnet,sample_run,Edge,Avail,TotalCost
0,1,0,13,0.9300385752705785,189.32758635301028
0,1,1,13,0.95465954213583,0.3953270604501521
0,1,2,13,0.9373378955476159,3479.2450747501443
0,1,3,13,0.9222560664011158,2800.0
0,1,4,13,0.9539232794555487,656.6075018408401
0,1,5,13,0.9701858811877229,898.796844426088
0,1,6,13,0.9258446641347193,1226.708850108541
0,1,7,13,0.9651799947478106,2231.690905204203
0,1,8,13,0.965417068269163,910.0
0,1,9,13,0.9642128698900481,958.8883037093685
0,1,10,13,0.950947858954486,1640.937282923365
0,1,11,13,0.9555421972253084,1274.9649091523247
0,1,12,13,0.9268251004176694,0.9581274193953283
0,1,13,13,0.943446782307025,1409.8832602001467
0,1,14,13,0.9223182115479929,717.3090826601637
0,1,15,13,0.9775135060721101,1240.535108470797
0,1,16,13,0.9769060773651183,903.5879961388714
0,1,17,13,0.9559229485387857,957.1851210931836
0,1,18,13,0.9467460813196127,2800.0
0,1,19,13,0.9767963116407673,2239.9607015757383
0,1,20,13,0.9805808710956209,510.0
0,1,21,13,0.9631749368206495,2135.4765246771817
0,1,22,13,0.933129578135539,1259.1460208357485
0,1,23,13,0.9524754432395323,1303.2577851418034
0,1,24,13,0.9316909065185884,1614.9139361785344
0,1,25,13,0.8862578827671675,2069.479201635754
0,1,26,13,0.9322891604131274,1250.7851209099374
0,1,27,13,0.9342440376869635,954.7386954944458
0,1,28,13,0.9406565542099465,1781.3506714374791
0,1,29,13,0.9223844522763112,910.0
0,1,30,13,0.9307708692559961,2251.796180383503
0,1,31,13,0.954294352124209,421.86573435059717
0,1,32,13,0.9631749368206495,881.3184436068789
0,1,33,13,0.9431552519517971,1331.1616248153787
0,1,34,13,0.9631337702785354,1249.446162146052
0,1,35,13,0.9245236667320913,1719.0944849821444
0,1,36,13,0.9652830899144702,2330.0
0,1,37,13,0.9388418165363996,2581.916238297759
0,1,38,13,0.9611462198508263,954.1266706906737
0,1,39,13,0.9545656914580538,1880.9856364113339
0,1,40,13,0.9429766084923129,1241.1383300023228
0,1,41,13,0.9774949719096097,1462.738472021958
0,1,42,13,0.922232173568102,3570.0
0,1,43,13,0.9441843994322229,1630.0
0,1,44,13,0.9772803587837484,3169.7073779064185
0,1,45,13,0.943346724047713,2330.0
0,1,46,13,0.9699285378511603,1219.1029051957157
0,1,47,13,0.9631241755153732,3084.6304884213405
0,1,48,13,0.9546424549493477,1860.1620393919775
0,1,49,13,0.9537127086538659,3570.0
0,1,50,13,0.9648333258375206,2126.7789082132485
0,1,51,13,0.8862578827671675,1857.7998099589902
0,1,52,13,0.9768103764999931,2800.0
0,1,53,13,0.9768997105291387,697.8127770271084
0,1,54,13,0.930741054234324,1630.0
0,1,55,13,0.9373030856819458,1292.1155030975592
0,1,56,13,0.9723760642982373,0.7495087091783882
0,1,57,13,0.9347383705174164,958.3202783776889
0,1,58,13,0.9589261334342244,1866.6902206605505
0,1,59,13,0.9468887892908768,1442.0601133632626
0,1,0,40,0.7817202057575227,2100.4916299729834
0,1,1,40,0.7703854562806249,1616.539148483279
0,1,2,40,0.7731104817429235,1367.39261653746
0,1,3,40,0.7433199192665833,2770.0
0,1,4,40,0.7664946910433638,1151.1471541475519
0,1,5,40,0.38704846382694663,1520.2287383447642
